department_name,department_specialty,department_id
JHCP Internal Med Green Spring,Internal Medicine,113000800
JHCP Family Med Hagerstown,Family Medicine,113030800
JHCP Internal Med Odenton,Internal Medicine,113002802
JHCP Village Germantown,Family Medicine,113043805
Johns Hopkins Internal Medicine,Internal Medicine,110106469
JHCP Pediatrics Odenton,Pediatrics,113002801
JHCP Family Med EBMC,Family Medicine,113022803
JH Comprehensive Care Practice,Internal Medicine,110205460
JHCP Family Med Glen Burnie,Family Medicine,113028800
BMS Pediatrics EBMC,Pediatrics,2011000003
Johns Hopkins Employee Health Phipps,Internal Medicine,110107201
JH Home-Based Medicine,Geriatric Medicine,110205901
JH University Health,Internal Medicine,110107951
JHCP Internal Med Canton Crossing,Internal Medicine,113024800
JHCP Internal Med EBMC,Internal Medicine,113022800
JH Children's Medical Practice,Pediatrics,110203530
JHCP Family Med Columbia North,Family Medicine,110514001
JHCP Internal Med I Street,Internal Medicine,113062000
BMS Pediatrics,Pediatrics,2011001006
Johns Hopkins Employee Health Blalock,Internal Medicine,110107200
JHCP Family Med Charles County,Family Medicine,113025800
JHCP Internal Med Fulton,Internal Medicine,113063001
JHCP Pediatrics EBMC,Pediatrics,113022802
JH Pediatrics Harriet Lane Clinic,Pediatrics,110103535
JHCP Family Med Fulton,Family Medicine,113063000
JHCP at Sunrise,Internal Medicine,113097000
CMP Family Practice,Family Medicine,2031000001
BMS Internal Med,Internal Medicine,2011001001
JHCP Internal Med Remington,Internal Medicine,113085000
KIPP JHU School Based Health Center,Pediatrics,113067000
JHCP Internal Med Greater Dundalk,Internal Medicine,113029800
Sibley Primary Care,Internal Medicine,110401800
JHACH Pediatrics,Pediatrics,110801044
JHCP JHOME TRANSITIONS,Geriatric Medicine,113078010
JHCP Pediatrics Montgomery Grove,Pediatrics,113034802
JHCP Family Med Germantown,Family Medicine,113043801
JHCP Internal Med McLean,Internal Medicine,113310002
SOM Village at Greenspring Station,Family Medicine,113000329
Johns Hopkins Internal Medicine,Internal Medicine,110106508
JHCP Village Odenton,Family Medicine,113002805
JHCP Pediatrics White Marsh,Pediatrics,113004801
JHCP Family Med Urbana,Family Medicine,113096001
Johns Hopkins Virtual Primary Care,Urgent Care,113118000
Complete Concierge Care,Internal Medicine,2051000000
JHCP Direct Primary Care Columbia,Family Medicine,110306805
JHCP Internal Med Hagerstown,Internal Medicine,113030801
JHCP Family Med Columbia North,Family Medicine,113213001
CMP Internal Medicine,Internal Medicine,2031000000
JHCP Family Med Howard County,Family Medicine,113031800
JHCP Family Med Frederick,Family Medicine,113027800
JHCP Family Med White Marsh,Family Medicine,113004803
BMS Pediatrics,Pediatrics,2011001002
JHCP Rockville Pediatrics,Pediatrics,113151000
JHCP Internal Med North Bethesda,Internal Medicine,113035801
CMP MDVIP Internal Medicine,Internal Medicine,2031000010
JHCP Pediatrics Water's Edge,Pediatrics,113038800
JHCP Pediatrics Remington,Pediatrics,113085002
CMP Pediatrics,Pediatrics,2031000002
BMS Family Med EBMC,Family Medicine,2011000001
JHACH Pediatrics,Pediatrics,110809015
JHCP Internal Med White Marsh,Internal Medicine,113004800
JHCP Internal Med Water's Edge,Internal Medicine,113038802
Beacham Cntr for Geriatric Medicine,Geriatric Medicine,110204460
BMS INTERNAL MED EBMC,Internal Medicine,2011000000
JHCP Internal Med Germantown,Internal Medicine,113043800
ESPERANZA FAMILY PRACTICE,Family Medicine,2041000000
JHCP Family Med Brandywine,Family Medicine,113095000
JH Internal Medicine,Internal Medicine,113000466
JHCP Family Med Montgomery Grove,Family Medicine,113034800
Bayview Occupational Health,Occupational Medicine,110203560
Johns Hopkins Community Physicians Pediatrics at Bowie,Pediatrics,113042801
JHCP Pediatrics Howard County,Pediatrics,113031802
JHCP Family Med Water's Edge,Family Medicine,113038801
Johns Hopkins Special Services,Internal Medicine,110106478
JHCP Internal Med Montgomery Grove,Internal Medicine,113034801
JHCP Family Med North Bethesda,Family Medicine,113035803
JHCP Village Frederick,Family Medicine,113027801
JHCP HOME BASED MED,Geriatric Medicine,113078008
JHACH Pediatrics,Pediatrics,110801016
Johns Hopkins Bayview Pediatrics,Pediatrics,110205573
JHCP Family Med Westminster,Family Medicine,113039800
JHCP Fam Med McLean,Family Medicine,113029804
Park Medical Associates Internal Medicine,Internal Medicine,113000727
JHCP Internal Med Bayview,Internal Medicine,110200800
JHCP Family Med Bowie,Family Medicine,113042800
Johns Hopkins Community Physicians Internal Medicine at Wyman Park,Internal Medicine,113040800
JHCP Primary Care Arlington,Family Medicine,113180000
JHCP Family Med Annapolis,Family Medicine,113023800
JHCP Family Med Odenton,Family Medicine,113002800
Johns Hopkins Geriatrics at Fatima,Geriatric Medicine,113070000
JHCP Pediatrics Canton Crossing,Pediatrics,113024804
Pediatric Complex Care Collaborative (PC3),Pediatrics,110103551
Johns Hopkins Personalized Care,Internal Medicine,113000725
JH Pediatrics Harriet Lane Clinic,Pediatrics,110103545
Johns Hopkins Occupational Health,Occupational Medicine,110107441
JHCP Internal Med Downtown Bethesda,Internal Medicine,113041800
JHCP Internal Med Annapolis,Internal Medicine,113023801
JH Occupational Health,Occupational Medicine,110107994
JHH Bartlett Clinic,Infectious Diseases,110107457
JHCP Internal Med Brandywine,Internal Medicine,113095460
